d,s,m,param_count
4,3,2,645
8,3,2,1109
8,6,2,1661
8,6,4,2333
12,3,2,1573
12,6,2,2149
12,6,4,2821
12,9,2,3049
12,9,4,4543
12,9,6,6037
12,9,8,7531
16,3,2,2037
16,6,2,2637
16,6,4,3309
16,9,2,3561
16,9,4,5055
16,9,6,6549
16,9,8,8043
16,12,2,4809
16,12,4,7449
16,12,6,10089
16,12,8,12729
16,15,2,6381
16,15,4,10491
20,3,2,2501
20,6,2,3125
20,6,4,3797
20,9,2,4073
20,9,4,5567
20,9,6,7061
20,9,8,8555
20,12,2,5345
20,12,4,7985
20,12,6,10625
20,15,2,6941
20,15,4,11051
20,18,2,8861
24,3,2,2965
24,6,2,3613
24,6,4,4285
24,9,2,4585
24,9,4,6079
24,9,6,7573
24,9,8,9067
24,12,2,5881
24,12,4,8521
24,12,6,11161
24,15,2,7501
24,15,4,11611
24,18,2,9445
24,21,2,11713
28,3,2,3429
28,6,2,4101
28,6,4,4773
28,9,2,5097
28,9,4,6591
28,9,6,8085
28,9,8,9579
28,12,2,6417
28,12,4,9057
28,12,6,11697
28,15,2,8061
28,15,4,12171
28,18,2,10029
28,21,2,12321
32,3,2,3893
32,6,2,4589
32,6,4,5261
32,9,2,5609
32,9,4,7103
32,9,6,8597
32,9,8,10091
32,12,2,6953
32,12,4,9593
32,12,6,12233
32,15,2,8621
32,15,4,12731
32,18,2,10613
36,3,2,4357
36,6,2,5077
36,6,4,5749
36,9,2,6121
36,9,4,7615
36,9,6,9109
36,9,8,10603
36,12,2,7489
36,12,4,10129
36,12,6,12769
36,15,2,9181
36,18,2,11197
40,3,2,4821
40,6,2,5565
40,6,4,6237
40,9,2,6633
40,9,4,8127
40,9,6,9621
40,9,8,11115
40,12,2,8025
40,12,4,10665
40,15,2,9741
40,18,2,11781
